oldGroups,Phylum,Class,Order,Family,Genus
Firmicutes.2,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.2,Firmicutes.2
Firmicutes.3,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.2,Firmicutes.2
Firmicutes.4,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.2,Firmicutes.3
Firmicutes.5,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.2,Firmicutes.2
Firmicutes.6,Bacteria,Firmicutes,Firmicutes.1,Firmicutes.2,Firmicutes.2
Flavonifractor,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Flavonifractor plautii,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Fusicatenibacter saccharivorans,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Fusobacterium,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium equinum,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium naviforme/nucleatum,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium nucleatum/period et al.,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Fusobacterium.1,Bacteria,Fusobacteriales,Fusobacteriales,Fusobacterium,Fusobacterium
Gardnerella vaginalis,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Bifidobacteriaceae
Gardnerella vaginalis.1,Bacteria,Actinobacteria,Actinobacteria,Actinobacteria,Bifidobacteriaceae
Gemella asaccharolytica,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Gemella haemolysans/morbilloru et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Gemmiger,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Gemmiger formicilis,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Gemmiger.1,Bacteria,Firmicutes,Clostridia,Ruminococcaceae,Ruminococcaceae.4
Granulicatella adiacens/para-a et al.,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Granulicatella elegans,Bacteria,Firmicutes,Bacilli,Bacilli,Bacilli
Haemophilus parainfluenzae,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Pasteurellaceae
Hafnia alvei,Proteobacteria,Proteobacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriaceae
Holdemanella,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Holdemanella
Holdemanella biformis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae.1,Erysipelotrichaceae.1,Holdemanella
Holdemania massiliensis,Bacteria,Erysipelotrichaceae,Erysipelotrichaceae,Holdemania massiliensis,Holdemania massiliensis
Howardella,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Howardella
Howardella ureilytica,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Howardella
Hungatella effluvii/hathewayi,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Intestinibacter bartlettii,Bacteria,Firmicutes,Firmicutes,Firmicutes,Peptostreptococcaceae
Intestinimonas,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Intestinimonas butyriciproducens,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Intestinimonas.1,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Intestinimonas.2,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Ruminococcaceae.6
Lachnospiraceae,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.1,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.10,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Lachnospiraceae.1
Lachnospiraceae.11,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Lachnospiraceae.1
Lachnospiraceae.12,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Lachnospiraceae.1
Lachnospiraceae.13,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.14,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.15,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.16,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.17,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.18,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.19,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.2,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.20,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.21,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
Lachnospiraceae.22,Bacteria,Firmicutes,Clostridia,Clostridiales.1,Clostridiales.10
