oldGroups,Phylum,Class,Order,Family,Genus
Peptoniphilus asaccharolyticus et al.,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus coxii,Bacteria,Firmicutes,Firmicutes,Clostridiales,Clostridiales.4
Peptoniphilus duerdenii,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus gorbachii/harei/ et al.,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus lacrimalis,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus massiliensis,Bacteria,Firmicutes,Firmicutes,Clostridiales,Clostridiales.4
Peptoniphilus massiliensis.1,Bacteria,Firmicutes,Firmicutes,Clostridiales,Clostridiales.4
Peptoniphilus.1,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptoniphilus.2,Bacteria,Firmicutes,Firmicutes,Clostridiales,Peptoniphilaceae
Peptostreptococcus anaerobius,Bacteria,Firmicutes,Firmicutes,Firmicutes,Peptostreptococcaceae
Peptostreptococcus stomatis,Bacteria,Firmicutes,Firmicutes,Firmicutes,Peptostreptococcaceae
Phascolarctobacterium,Bacteria,Firmicutes,Firmicutes.1,Acidaminococcaceae,Acidaminococcaceae
Phascolarctobacterium faecium,Bacteria,Firmicutes,Firmicutes.1,Acidaminococcaceae,Acidaminococcaceae
Phascolarctobacterium succinatutens,Bacteria,Firmicutes,Firmicutes.1,Acidaminococcaceae,Acidaminococcaceae
Phascolarctobacterium.1,Bacteria,Firmicutes,Firmicutes.1,Acidaminococcaceae,Acidaminococcaceae
Porphyromonadaceae,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae,Porphyromonadaceae
Porphyromonadaceae.1,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.2,Porphyromonadaceae.1
Porphyromonadaceae.2,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.2
Porphyromonadaceae.3,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.4,Porphyromonadaceae.3
Porphyromonas,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae.1,Porphyromonas
Porphyromonas asaccharolytica,Bacteroidetes,Bacteroidales,Bacteroidales.1,Porphyromonadaceae,Porphyromonas.2
